Quarter,Revenue,GDP_USA,GDP_China,GPD_EU,Combined Alpha Score,Euro_dollar,Yen_dollar,Retail Sales,Online Sales,Earnings Quality Score,CCI,news_Community,news_Debt Financing / Related,"news_Debt Financing / Related, Earnings Announcements",news_Divestitures / Spin-offs,news_Dividends,news_Earnings Announcements,news_Environmental,"news_Equity Financing / Related, Mergers / Acquisitions",news_Equity Investments,"news_Equity Investments, Equity Financing / Related","news_Equity Investments, Officer Changes, Regulatory","news_Equity Investments, Regulatory",news_Labor Issues,"news_Layoffs, Earnings Announcements","news_Layoffs, Officer Changes","news_Layoffs, Other Pre-Announcement",news_Litigation,"news_Litigation, Regulatory","news_Management Compensation, Labor Issues",news_Mergers / Acquisitions,news_Officer Changes,"news_Officer Changes, Mergers / Acquisitions","news_Officer Changes, Other Pre-Announcement","news_Officer Changes, Regulatory, Management Compensation",news_Other Pre-Announcement,news_Products,"news_Products, Expansion","news_Products, Litigation","news_Products, Officer Changes, Earnings Announcements","news_Products, Restructuring / Reorganization, Expansion",news_Regulatory,"news_Regulatory, Earnings Announcements","news_Regulatory, Management Compensation, Labor Issues",news_ Strategic Combinations
08-01-2017,9070,0.032,0.016,0.008,24,1.181,6.647,2535,0,80,101.08,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11-01-2017,8554,0.046,0.016,0.008,20,1.2,6.513,2484,0,87,101.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
02-01-2018,8984,0.033,0.019,0.002,38,1.232,6.26,2611,0,93,101.46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
05-01-2018,9789,0.021,0.017,0.006,39,1.168,6.634,2798,0,90,101.44,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2018,9948,0.025,0.014,0.001,71,1.161,6.875,2851,0,96,101.25,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11-01-2018,9374,0.006,0.014,0.007,64,1.147,6.869,0,2831,96,101,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
02-01-2019,9611,0.022,0.017,0.006,73,1.122,6.722,3095,0,96,101.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
05-01-2019,10184,0.034,0.014,0.004,42,1.137,6.868,3255,0,94,101.02,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
08-01-2019,10660,0.046,0.014,0.002,43,1.09,7.139,0,3412,93,100.85,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
11-01-2019,10326,0.026,0.011,0.001,65,1.121,6.959,0,3422,88,100.84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0
02-01-2020,10104,-0.053,-0.102,-0.03,39,1.103,7.093,0,3447,93,100.12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
05-01-2020,6313,-0.28,0.116,-0.109,56,1.123,7.068,0,2703,66,98.01,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
08-01-2020,10594,0.348,0.032,0.112,35,1.172,6.783,0,3821,86,98.62,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11-01-2020,11243,0.042,0.024,0.002,60,1.221,6.502,0,4506,92,98.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02-01-2021,10357,0.052,0.009,0.006,71,1.173,6.563,0,4134,88,99.45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
05-01-2021,12344,0.062,0.016,0.021,48,1.186,6.468,0,4675,96,100.44,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
08-01-2021,12248,0.033,0.003,0.02,61,1.158,6.447,0,4921,81,100.65,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01-2021,11357,0.07,0.015,0.007,32,1.137,6.361,0,4912,81,100.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
02-01-2022,10871,-0.02,0.013,0.007,38,1.107,6.353,0,4790,75,98.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
05-01-2022,12234,-0.006,-0.024,0.007,26,1.048,6.693,0,5034,64,97.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
08-01-2022,12687,0.027,0.039,0.004,20,0.98,7.142,0,5312,72,96.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11-01-2022,13315,0.026,0,-0.001,22,1.07,6.923,0,5659,50,96.63,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-01-2023,12390,0.022,0.022,0.001,41,1.084,6.874,0,5583,68,97.53,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
